Modelo,val_auc,te_auc,te_f1,te_prec,te_rec
XGBoost,0.8085944214333954,0.831400044019429,0.09108398127441215,0.04840515505860363,0.7699408046553627
Random Forest,0.8051425823353243,0.8287819798890186,0.09293963073093148,0.04952672192369251,0.7528845189124109
LightGBM,0.8044663880462922,0.8284597830774479,0.09091154193731994,0.04834261331113077,0.761195277749908
